ard_millis,GPS Epoch Time,lat (deg),lat (min), long (deg),long (min),el (m),SOG (mm/s),COG (deg*1000),Vert Vel (mm/s)
355096,1489675468.20,-122,-2962780,37,3022560,-38.63,9228,26430,536
355497,1489675468.60,-122,-2962671,37,3022737,-38.07,9197,25060,182
355893,1489675469.00,-122,-2962559,37,3022922,-37.95,9385,24920,80
356294,1489675469.40,-122,-2962450,37,3023108,-37.98,9468,25130,76
356689,1489675469.80,-122,-2962340,37,3023293,-37.93,9537,25290,167
357089,1489675470.20,-122,-2962226,37,3023481,-37.73,9701,25630,-13
357492,1489675470.60,-122,-2962112,37,3023671,-37.61,9854,24930,-27
357888,1489675471.00,-122,-2961997,37,3023862,-37.49,9884,25200,9
358293,1489675471.40,-122,-2961880,37,3024059,-37.48,10095,25050,-26
358686,1489675471.80,-122,-2961761,37,3024258,-37.56,10232,25370,78
359084,1489675472.20,-122,-2961643,37,3024454,-37.59,10106,25340,14
359491,1489675472.60,-122,-2961525,37,3024649,-37.60,10108,25310,28
359884,1489675473.00,-122,-2961401,37,3024851,-37.61,10351,26050,25
360286,1489675473.40,-122,-2961285,37,3025054,-37.84,10364,24290,51
360681,1489675473.80,-122,-2961164,37,3025258,-37.99,10547,26050,48
361082,1489675474.20,-122,-2961039,37,3025463,-37.81,10557,25960,9
361484,1489675474.60,-122,-2960916,37,3025669,-37.87,10578,25220,39
361881,1489675475.00,-122,-2960790,37,3025876,-38.08,10534,26120,188
362274,1489675475.40,-122,-2960663,37,3026084,-37.99,10669,25310,182
362680,1489675475.80,-122,-2960543,37,3026294,-38.48,10601,24450,389
363073,1489675476.20,-122,-2960422,37,3026504,-38.44,10651,24660,386
363479,1489675476.60,-122,-2960297,37,3026713,-38.35,10675,25130,317
363872,1489675477.00,-122,-2960171,37,3026922,-38.29,10707,24980,283
364443,1489675477.40,-122,-2960043,37,3027130,-38.11,10769,25480,65
364683,1489675477.80,-122,-2959916,37,3027339,-37.91,10727,25540,17
365086,1489675478.20,-122,-2959787,37,3027548,-37.82,10744,25820,-37
365481,1489675478.60,-122,-2959657,37,3027755,-37.62,10680,26400,-45
366596,1489675479.00,-122,-2959531,37,3027959,-37.61,10564,25990,-110
367382,1489675479.40,-122,-2959403,37,3028162,-37.51,10474,26770,-116
367523,1489675479.80,-122,-2959278,37,3028361,-37.39,10246,26420,-172
367874,1489675481.00,-122,-2958915,37,3028948,-37.47,10042,25840,-9
368269,1489675481.40,-122,-2958796,37,3029135,-37.62,9622,27070,65
368664,1489675481.80,-122,-2958671,37,3029316,-37.49,9473,28680,69
369063,1489675482.20,-122,-2958547,37,3029492,-36.62,9185,27750,-205
369461,1489675482.60,-122,-2958428,37,3029664,-36.53,9082,29290,-188
369872,1489675483.00,-122,-2958310,37,3029824,-36.49,8398,30040,-223
370264,1489675483.40,-122,-2958192,37,3029969,-36.45,7882,31680,-192
370659,1489675483.80,-122,-2958068,37,3030095,-36.17,7302,34940,-342
371052,1489675484.20,-122,-2957946,37,3030203,-36.32,6431,36620,-78
371460,1489675484.60,-122,-2957840,37,3030288,-36.17,5287,40210,-155
371859,1489675485.00,-122,-2957741,37,3030361,-36.17,4711,43140,164
372258,1489675485.40,-122,-2957662,37,3030420,-36.26,3870,44650,147
372660,1489675485.80,-122,-2957601,37,3030467,-36.38,3151,47050,278
373055,1489675486.20,-122,-2957550,37,3030497,-36.41,2291,50110,365
373448,1489675486.60,-122,-2957502,37,3030515,-36.57,1746,58550,381
373848,1489675487.00,-122,-2957456,37,3030533,-36.40,1845,60580,306
374251,1489675487.40,-122,-2957410,37,3030554,-36.33,1869,59780,321
374657,1489675487.80,-122,-2957361,37,3030576,-36.25,1981,61810,219
